"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"CH","2019-09-29","85.4","2.4091","5.1887","Eduardo Escobar",500871,621381,"single","hit_into_play",,,,,12,"Eduardo Escobar singles on a ground ball to center fielder Travis Jankowski.  Eduardo Escobar out at 2nd on the throw, center fielder Travis Jankowski to second baseman Greg Garcia.  ","R","R","L","ARI","SD","X",8,"ground_ball",1,0,2019,"1.6151","0.4427","1.1056","2.3898","null","null","null",0,9,"Bot","122.44","104.55",,,642336,,"190929_215220","-6.1427","-123.9770","-1.0762","17.4738","26.8662","-27.7892","3.1200","1.4600","17","79.0","-6.7","83.9040","2103","5.6280",564913,621381,642336,543333,594824,592518,649966,571976,608671,647304,"54.8720","0.112","0.102","0.90",1,1,0,2,64,"2","Changeup",0,0,0,0,0,0,0,0,"Standard","Standard"
"SI","2019-09-29","85.7","-2.8304","2.5105","Eduardo Escobar",500871,642233,"single","hit_into_play_no_out",,,,,8,"Eduardo Escobar singles on a sharp ground ball to right fielder Josh Naylor.   Nick Ahmed to 3rd.  ","R","L","R","ARI","SD","X",9,"ground_ball",0,0,2019,"-1.4872","-0.6216","-0.0116","1.4521","null","null",605113,1,6,"Bot","164.02","119.75",,,642336,,"190929_205605","9.5712","-124.2711","5.0466","-17.2320","25.9762","-39.8311","3.1200","1.4600","33","106.0","-0.9","84.9830","2054","6.1160",564913,642233,642336,543333,594824,592518,649966,571976,608671,647304,"54.3839","0.458","0.401","0.90",1,1,0,4,45,"1","Sinker",0,0,0,0,0,0,0,0,"Infield shift","Standard"
"CU","2019-09-29","78.1","-2.0432","6.1532","Eduardo Escobar",500871,671790,"strikeout","swinging_strike",,,,,4,"Eduardo Escobar strikes out swinging.  ","R","L","R","ARI","SD","S",2,"null",2,2,2019,"0.9143","0.3254","-0.6975","2.6028","null","null","null",0,4,"Bot","null","null",,,642336,,"190929_200553","1.2409","-113.6340","-1.3371","7.5161","20.9309","-29.4200","3.3300","1.5500","null","null","null","77.2710","null","5.7150",564913,671790,642336,543333,594824,592518,649966,571976,608671,647304,"54.7847","null","null","0.00",1,0,0,"null",26,"5","Curveball",0,0,0,0,0,0,0,0,"Infield shift","Standard"
"SL","2019-09-29","86.0","-2.1628","6.6693","Eduardo Escobar",500871,673258,"field_out","hit_into_play",,,,,13,"Eduardo Escobar grounds out softly, first baseman Eric Hosmer to pitcher Michel Baez.  ","R","L","R","ARI","SD","X",3,"ground_ball",0,0,2019,"0.1186","0.0867","-0.3952","1.1121","null","null","null",2,1,"Bot","145.76","170.96",,,642336,,"190929_192556","3.9126","-124.9960","-7.0361","0.4619","24.2749","-30.1495","3.1200","1.4600","83","39.6","31.2","85.2430","2086","5.7820",564913,673258,642336,543333,594824,592518,649966,571976,608671,647304,"54.7171","0.182","0.167","0.00",1,0,0,1,7,"1","Slider",0,0,0,0,0,0,0,0,"Infield shift","Standard"
"FS","2019-09-28","88.9","-2.5002","5.8472","Eduardo Escobar",500871,670280,"field_out","hit_into_play",,,,,9,"Eduardo Escobar lines out to shortstop Luis Urias.  ","R","L","R","ARI","SD","X",6,"line_drive",1,2,2019,"0.1226","0.1553","0.2954","1.4997",642736,502481,668942,1,7,"Bot","138.73","136.95",,,595978,,"190929_024324","6.5962","-129.2446","-4.9137","-0.0324","27.5100","-29.6092","3.0379","1.3672","156","65.3","16.8","88.8540","1527","6.3600",564912,670280,595978,543333,664034,592518,649966,571976,622534,592669,"54.1400","0.482","0.423","0.00",1,0,0,2,62,"4","Split Finger",2,5,2,5,5,2,2,5,"Infield shift","Standard"
"CU","2019-09-28","84.3","2.1126","5.4760","Eduardo Escobar",500871,621381,"field_out","hit_into_play",,,,,5,"Eduardo Escobar grounds out, shortstop Luis Urias to first baseman Eric Hosmer.  ","R","R","L","ARI","SD","X",6,"ground_ball",0,2,2019,"-0.5459","-0.1600","0.1932","2.5033","null","null","null",0,6,"Bot","110.28","158.79",,,595978,,"190929_021503","-3.3514","-122.6574","-0.2942","-4.7023","22.1846","-33.9326","3.1718","1.4030","4","88.3","-31.1","82.7820","2595","5.0910",564912,621381,595978,543333,664034,592518,649966,571976,622534,592669,"55.4086","0.080","0.073","0.00",1,0,0,2,49,"3","Curveball",1,4,1,4,4,1,1,4,"Standard","Standard"
"SL","2019-09-28","89.8","-2.3324","5.7591","Eduardo Escobar",500871,572070,"strikeout","foul_tip",,,,,6,"Eduardo Escobar strikes out on a foul tip.  ","R","L","R","ARI","SD","S",2,"null",2,2,2019,"0.3023","-0.2004","0.6062","2.4252","null","null","null",0,4,"Bot","null","null",,,595978,,"190929_012341","6.5747","-130.5988","-1.8788","2.1228","25.4157","-34.2926","3.1265","1.4209","null","null","null","89.0970","3023","5.7150",564912,572070,595978,543333,664034,592518,649966,571976,622534,592669,"54.7845","null","null","0.00",1,0,0,"null",32,"6","Slider",1,3,1,3,3,1,1,3,"Infield shift","Standard"
"SL","2019-09-28","91.4","-2.4779","5.8904","Eduardo Escobar",500871,572070,"field_out","hit_into_play",,,,,7,"Eduardo Escobar grounds out, second baseman Ty France to first baseman Eric Hosmer.  ","R","L","R","ARI","SD","X",4,"ground_ball",3,1,2019,"0.2018","-0.0837","-0.3415","1.8371","null","null","null",2,1,"Bot","157.75","139.95",,,595978,,"190929_002331","4.9035","-133.0171","-4.1792","1.4180","25.5197","-32.5735","3.0047","1.4295","126","99.9","8.3","90.8040","3030","5.6850",564912,572070,595978,543333,664034,592518,649966,571976,622534,592669,"54.8146","0.618","0.568","0.00",1,0,0,4,8,"5","Slider",0,0,0,0,0,0,0,0,"Infield shift","Standard"
"FS","2019-09-27","89.5","-2.0086","6.1401","Eduardo Escobar",500871,606131,"field_out","hit_into_play",,,,,13,"Eduardo Escobar grounds out, first baseman Eric Hosmer to pitcher Luis Perdomo.  ","R","L","R","ARI","SD","X",3,"ground_ball",0,0,2019,"-1.1706","0.5534","-0.3845","0.8392","null",641796,"null",2,8,"Bot","164.05","155.67",,,620443,,"190928_043251","6.3631","-129.9434","-8.1327","-14.3591","26.3444","-24.5782","3.1100","1.4700","92","48.0","25.4","88.7360","1508","5.8660",564911,606131,620443,543333,594824,592518,649966,571976,622534,592669,"54.6336","0.200","0.122","0.00",1,0,0,1,71,"1","Split Finger",6,3,6,3,3,6,6,3,"Infield shift","Standard"
"SI","2019-09-27","94.1","-2.6432","5.6906","Eduardo Escobar",500871,489334,"field_out","hit_into_play",,,,,7,"Eduardo Escobar flies out to left fielder Nick Martini.  ","R","L","R","ARI","SD","X",7,"fly_ball",1,1,2019,"-1.3340","0.9682","-0.6391","1.6376","null","null","null",1,7,"Bot","60.10","86.19",,,620443,,"190928_035736","8.1825","-136.7725","-6.9657","-18.5950","29.7020","-18.6612","3.3300","1.5500","308","86.9","30.0","94.3330","2269","6.4550",564911,489334,620443,543333,594824,592518,649966,605361,622534,592669,"54.0448","0.055","0.078","0.00",1,0,0,3,58,"3","Sinker",2,3,2,3,3,2,2,3,"Infield shift","Standard"
